,factor 1 score,factor 3 score,country
0,41.10811987840561,44.70363215174309,GB
1,57.90186651463433,42.158296285171176,MY
2,48.158084810674985,34.84285289643032,GB
3,51.89724955122727,35.9137487213669,GB
4,38.95252467734885,40.399504323444624,KE
5,52.19243292397128,35.34507439729122,SE
6,42.96313664580979,39.18115838722415,US
7,52.077529844994274,42.67488558650333,MY
8,45.218061453227435,36.288885380954135,GB
9,32.004206525693,27.635145156298687,FI
10,32.55074808511486,33.044339633498815,UA
11,46.98931833417632,37.32765015565819,PH
13,42.031530471112234,39.54104276870202,GB
14,44.69052064958301,38.348016687562875,AU
15,51.91363881772489,34.96604162325339,IN
16,52.597931357141896,33.92703842790263,CA
17,40.11810409149616,37.8052200853211,NL
18,32.65024222875117,44.584235053551474,ZA
19,51.097875874014655,39.73550701202882,HK
20,35.213289923265826,45.804171910251746,GB
21,36.07389425659194,43.29478921202749,US
23,39.48047422604307,46.0130710913189,BR
24,37.16290457282871,43.782981835852524,AU
25,38.96179546527302,40.92708372274039,CA
26,42.83925395922902,28.646982802691337,GB
27,52.72520448172064,42.795926641905936,AU
28,36.8292311554898,45.54635539974967,GB
29,39.64736955352967,39.65635429812654,GB
30,4.438005237467528,5.329612897554934,SE
31,53.07678922419423,36.9169268466975,CH
32,50.13382102761191,38.25455406910408,FR
33,48.67290855632695,37.008827404550175,FR
34,44.4367380222491,37.490135606349384,GB
35,36.465850594592816,34.48477504965667,GB
36,51.397506861233154,35.730039042214955,TH
37,53.00302240005027,32.94548604665222,GB
38,54.93403675583184,35.759802645919116,GB
39,60.15184815486473,31.681078385043364,GB
40,44.81270280970432,34.35012098873832,IT
41,52.42561102870412,40.62872901854671,AU
43,50.36647258211441,33.29823016087399,IN
44,62.381350616940324,40.04270193372873,ES
45,46.874749345417605,35.05145625302212,IN
46,33.543437908725544,49.05246465310536,FR
48,51.59372425119258,41.72131523469967,FR
50,48.49836020440017,37.34349310506927,HR
51,63.00620735546644,38.88279956453255,US
52,46.45990032652048,45.25702251283406,GR
53,51.72934597329417,43.18913220293376,IE
54,39.91869608543655,48.13568969729579,IN
55,52.374613959526165,37.9505093413673,GB
56,39.883772626708044,37.995762188488015,BR
57,55.4116156323564,40.71312302764626,GB
58,36.76056659621278,35.607221109788824,IN
59,2.515080123734182,2.184531609400486,GB
60,50.56877050633593,36.43885304365278,OM
61,49.74773384397867,37.31478947815275,GB
62,42.100880986560114,41.918321669352146,KE
63,40.56912456052007,48.92883740980801,AU
64,41.90674839707393,37.94299922934109,ES
65,42.790320635263576,34.60399530926528,FR
66,35.02894267522198,46.63080997322497,GB
67,55.09814706746085,37.004428423854414,GB
68,50.63569722441953,38.46143940208123,PH
69,52.40310410024122,37.4363246714257,HK
70,57.28809715571782,48.53331128629774,PH
71,39.955308403186095,42.75197036347957,US
72,1.489905360055772,0.646658499559969,HK
73,44.765367536364245,40.744597441739636,DE
74,48.26253721518247,33.14398810293813,GB
75,37.432332228985885,38.070508362913465,GB
76,51.5598698913543,41.45833192646162,AU
77,39.161353808665346,39.09273988659621,IN
78,44.39157564291457,33.34634331363777,GB
79,52.54291731041234,39.29326182306057,PT
80,55.74380430245001,33.067240396773315,GB
81,52.3013489274124,32.88192209045018,GB
82,-0.13891362657907752,1.3384174769406672,DE
83,42.260858486809795,41.75981850929292,HK
84,47.24007694784088,41.061251120226444,GB
85,46.557626022026504,47.73824357966373,NL
86,44.54872442489946,39.73299670123724,GB
87,39.21715231926617,49.639848107196556,GB
88,37.08157412447354,47.42192757006131,NL
89,45.5550157744426,34.53020463427089,CA
90,40.867520454244115,51.872885946463434,NL
92,47.577478495505865,34.919740528488,GB
94,51.0319237691224,38.99592066054917,SG
95,57.93721097396193,38.61114921620639,GB
96,29.90629154845336,40.71130918698489,NONE
97,49.463142531022534,41.87626952904085,GB
98,43.240689534969086,42.23908791928767,GB
99,12.033559569078221,8.130884836359849,GB
100,26.07661553285723,44.2269737023387,US
101,50.59757486783481,36.00184753563834,GB
102,38.35086300023266,44.41713748140615,RO
103,44.24120216853139,34.34430016436172,IN
104,52.81800739617441,34.25547231699623,US
106,40.53880993988115,37.38544337993766,IN
107,47.661343854808536,37.72117541249441,GB
108,53.5987941705144,42.14958916948361,CA
109,37.78315958335046,48.14719726897048,GB
110,53.745933287595705,41.63429356260946,GB
111,33.6622899508185,45.99302694550322,NO
112,59.56842188045143,38.87159139060595,GB
113,46.28653592485531,35.69262179127647,US
114,38.56229097581671,25.678954303069293,GB
115,37.408286198334764,43.85492009751911,NL
116,49.02139209442105,36.37672451437821,GB
117,53.728116556058296,29.449553749244046,US
118,40.902824861557825,31.06970471744189,BD
119,52.17779938001938,41.66844761398064,BN
120,57.333470597302735,41.489464141656846,GB
122,1.2864504426017072,1.1483253708960939,CA
123,50.784920685622254,32.84825880428952,GB
124,37.02679910361969,29.18253413253473,IN
125,42.05060751678461,43.612326967079326,AU
126,36.364445912116764,47.060277353982336,GB
127,38.10391290405327,40.513254556516834,GB
128,49.2172313917411,38.742132860705524,GB
129,45.30749682739982,35.81431244307794,GB
130,54.00057273926729,36.18004196461734,GB
131,38.689938197778226,46.1488474700713,GB
134,55.35290779231497,37.09911507882449,PH
135,49.06932320795489,33.887005770865734,GB
136,49.48016871814913,40.18651867404031,PH
137,52.131058573570925,35.679319784112515,SE
138,48.445970502939645,39.48169530061961,DE
139,50.95535743201008,39.3942361376723,IN
140,52.9025178000503,41.19638577737872,AU
141,9.542973440493316,8.34751293086712,ZA
142,2.0973066709785884,-0.6126981660312832,NO
143,51.690969408529696,38.44434584079422,US
144,47.36696536524378,37.11940589225251,SE
145,3.949986848234067,4.3976173156209715,NL
146,45.68567993739685,37.3327913887694,GB
147,53.31675258611871,41.50924791431475,FR
148,34.36252137270539,41.00248934500908,NG
149,48.80535421172023,38.0438991075961,AU
